Canadian Food,US Matches 
"Soup, cream, mushroom, canned, condensed, reduced fat",
"Soup, cream, mushroom, canned, condensed, reduced sodium, 2% M.F. milk added","Mushroom soup, cream of, canned, reduced sodium, prepared with milk(61.54% match #75607100); "
"Soup, cream, mushroom, ready-to-serve",
"Soup, mushroom barley, ready-to-serve, low sodium",
"Soup, cream, potato, ready-to-serve","Menudo soup, canned, prepared with water or ready-to-serve(62.37% match #28311030); Tomato soup, prepared with water, or ready-to-serve(60.47% match #74602010); Vegetable soup, canned, prepared with water or ready-to-serve(60.42% match #75649010); "
"Soup, Italian wedding, ready-to-serve","Beef noodle soup, canned or ready-to-serve(60.76% match #58402010); "
"Soup, lentil, ready-to-serve","Muscle Milk, ready-to-drink(61.82% match #95106000); "
"Soup, cream, asparagus, ready-to-serve","Tomato soup, prepared with water, or ready-to-serve(60.67% match #74602010); "
"Soup, split pea, ready-to-serve","Tomato soup, prepared with water, or ready-to-serve(63.41% match #74602010); Barley soup, home recipe, canned, or ready-to-serve(60.98% match #58401010); "
"Soup, tomato noodle, ready-to-serve",
"Soup, tomato, canned, condensed, reduced sodium, water added","Tomato soup, canned, reduced sodium, prepared with milk(60.87% match #74602300); "
"Soup, tomato, canned, condensed, reduced sodium, 2% M.F. milk added","Tomato soup, canned, reduced sodium, prepared with milk(60.66% match #74602300); "
"Babyfood, juice, apple, all stages",
"Babyfood, juice, apple and prune",
"Babyfood, juice, pear, all stages",
"Soup, tomato, ready-to-serve","Lentil soup, home recipe, canned, or ready-to-serve(60.76% match #41603010); Barley soup, home recipe, canned, or ready-to-serve(60.76% match #58401010); Tomato soup, prepared with water, or ready-to-serve(60.76% match #74602010); "
"Soup, tomato and red pepper, ready-to-serve, low sodium",
"Soup, wonton (won ton), canned, ready-to-serve","Lentil soup, home recipe, canned, or ready-to-serve(63.92% match #41603010); Barley soup, home recipe, canned, or ready-to-serve(63.92% match #58401010); Cabbage soup, home recipe, canned or ready-to-serve(61.86% match #75601200); "
"Babyfood, meat, jarred and frozen, beef, puree",
"Cereal, hot, cream of wheat, instant: whole grain, dry",
"Cereal, hot, cream of wheat, instant: whole grain, prepared with water","Corn soup, cream of, prepared with water(63.64% match #75604020); Asparagus soup, cream of, prepared with water(60.87% match #75601020); "
"Apple juice, canned or bottled, unsweetened, calcium and Vitamin C and D added",
"Vegetable juice cocktail, canned, low sodium","Vegetable soup, made from dry mix, low sodium(60.67% match #75649070); "
"Spaghetti and meatballs, restaurant prepared","Spaghetti and meatballs dinner, NFS (frozen meal)(60.22% match #58304010); "
"Goose, wild (Canada goose), native, breast, skinless, raw",
"Meatball, Italian style, frozen",
"Orange juice, frozen concentrate, undiluted, with added calcium and Vitamin D","Orange juice, frozen (reconstituted with water)(61.29% match #61210620); "
"Raspberry, frozen, unsweetened","Raspberries, frozen, unsweetened(93.55% match #63219610); Strawberries, frozen, unsweetened(82.54% match #63223610); Water, bottled, unsweetened(70.18% match #94100100); "
"Nuts, almonds, oil roasted, lightly salted","Almonds, dry roasted, without salt(68.42% match #42101210); Peanuts, dry roasted, without salt(63.16% match #42111210); "
"Carbonated drinks, lemon-lime soda, with caffeine",
"Quinoa burger patty, frozen",
"Lamb, New Zealand, leg, chop / steak, lean, fast fried",
"Lamb, New Zealand, tenderloin, lean and fat, fast fried","Lamb, roast, cooked, lean and fat eaten(61.7% match #23120110); "
"Lamb, New Zealand, tenderloin, lean and fat, raw","Lamb, roast, cooked, lean and fat eaten(62.07% match #23120110); "
"Lamb, New Zealand, tenderloin, lean, fast fried",
"Lamb, New Zealand, tenderloin, lean, raw",
"Veal, foreshank, osso buco, lean, braised",
"Veal, foreshank, osso buco, lean and fat, braised","Ham, fresh, cooked, lean and fat eaten(66.67% match #22301110); Veal cutlet or steak, broiled, lean and fat eaten(61.22% match #23204210); Veal, roasted, lean and fat eaten(60.98% match #23210020); "
"Veal, ground, pan-fried","Veal, ground or patty, cooked(65.38% match #23220010); "
"Fast food, biscuit",Ham on biscuit(68.75% match #27520250); Sausage on biscuit(66.67% match #27560650); Egg and steak on biscuit(61.9% match #32202130); 
"Cracker, standard snack-type, with whole-wheat","Crackers, saltine, whole wheat(65.79% match #54325050); "
"Rice, spanish rice mix, unprepared",
"Rice, spanish rice mix, prepared",
Spaghetti with pomodoro sauce (tomato sauce),"Spaghetti with tomato sauce, meatless(66.67% match #58132110); Spaghetti with meat sauce (diet frozen meal)(65.91% match #58304060); Spaghetti with clam sauce, NS as to red or white(60.87% match #58132800); "
Quesadilla with cheese,Quesadilla with chicken(84.44% match #58104740); Quesadilla with vegetables(79.17% match #58104750); Pea salad with cheese(79.07% match #75416600); 
"Ravioli, cheese-filled with marinara sauce","Ravioli, cheese-filled, with meat sauce(88.89% match #58131530); Ravioli, cheese-filled, with cream sauce(85.37% match #58131535); Manicotti, cheese-filled, with meat sauce(79.52% match #58133130); "
"Tamale, cheese","Tamale, sweet(74.07% match #53430700); Cracker, cheese(68.97% match #54304000); Tamale with chicken(60.61% match #58103130); "
Chicken parmesan,Chicken skin(71.43% match #24198440); Chicken barbecue sandwich(68.29% match #27540130); Chicken nuggets(64.52% match #24198740); 
"Rice, Spanish rice","Bread, Spanish coffee(66.67% match #51168000); Red beans and rice(61.11% match #58160150); "
Refried beans,"Refried beans(100.0% match #41205010); Refried beans with meat(72.22% match #41205030); Rice, fried, meatless(64.71% match #58150110); "
"Soup, broth, chicken, canned, condensed, reduced sodium",
"Soup, broth, chicken, canned, condensed, water added, reduced sodium",
"Soup, cream, celery, canned, condensed, reduced fat, 2% M.F. milk added",
"Soup, cream, celery, canned, condensed, reduced fat, water added",
"Soup, cream, mushroom, canned, condensed, reduced fat, water added",
"Soup, broccoli cheese, canned, condensed, water added",
"Babyfood, dinner, lamb with fruit","Bread, pita with fruit(65.45% match #51109150); "
"Beverage mix, chocolate flavour, powder, no added sugar","Wheat cereal, chocolate flavored, cooked, fat not added in cooking(62.81% match #56207360); "
"Margarine, stick, canola and/or soybean oil","Canola and soybean oil(64.62% match #82105750); Margarine, stick, unsalted(60.87% match #81103030); "
"Margarine, stick, palm and soybean oils","Margarine, stick, salted(66.67% match #81102010); Margarine, stick, unsalted(64.62% match #81103030); "
"Margarine, tub, non-hydrogenated, soybean oil","Margarine, tub, unsalted(60.87% match #81103060); "
"Margarine, tub, non-hydrogenated, canola oil (includes some sunflower oil)",
"Margarine, tub, non-hydrogenated, canola oil, with plant sterols",
"Margarine, tub, non-hydrogenated, canola oil (includes some sunflower oil) unsalted",
"Margarine, tub, non-hydrogenated, canola oil (includes some sunflower oil), lactose free, vegan",
"Margarine, tub, non-hydrogenated, canola and fish oil",
"Yogourt, Greek style, plain, 2% M.F.",
"Margarine, tub, non-hydrogenated, canola and olive oil",
"Yogourt, Greek style, fruit flavoured, 2% M.F.",
"Margarine, tub, non-hydrogenated, canola oil, with plant sterols, Calorie-reduced",
"Margarine-like spread (including garlic flavoured), tub, non-hydrogenated, mixed vegetable oils, 68% fat",
"Margarine-like spread, tub, hydrogenated, canola and soybean oil, 50% fat","Margarine-like spread, tub, unsalted(60.55% match #81103120); "
"Margarine, tub, non-hydrogenated, canola oil (includes some sunflower oil), Calorie-reduced",
"Margarine, tub, non-hydrogenated, mixed vegetable oil, Calorie-reduced",
"Beverage mix, chocolate flavour, powder, no added sugar, with 2% M.F. milk",
"Plant-based beverage, coconut, enriched, sweetened, all flavours",
"Plant-based beverage, coconut, enriched, unsweetened",
"Plant-based beverage, cashew, enriched, sweetened",
"Babyfood, dessert, jarred, custard (includes vanilla custard)",
"Babyfood, fruit, jarred, apple (applesauce), all stages",
"Babyfood, fruit, jarred, banana, all stages",
"Babyfood, fruit, jarred, apple and berries (blueberries, raspberries or strawberries), all stages",
"Babyfood, fruit, jarred, apple and other fruit (plum, mango, kiwi, pear, banana, apricot and/or pineapple), all stages",
"Babyfood, fruit, jarred, apricot and other fruit",
"Babyfood, fruit, jarred, banana and other fruit",
"Babyfood, fruit, jarred, mixed fruit",
"Babyfood, fruit, jarred, peach, all stages",
"Babyfood, fruit, jarred, pear, all stages",
"Babyfood, fruit, jarred, prunes",
"Babyfood, dessert, jarred, strawberry",
"Babyfood, dessert, jarred, apricot, all stages",
"Babyfood, dessert, jarred, banana with coconut cream",
"Babyfood, dessert, jarred, blueberry, all stages",
"Babyfood, dessert, jarred, fruit",
"Babyfood, dessert, jarred, banana graham pie",
"Babyfood, meat, jarred and frozen, chicken, puree",
"Babyfood, meat, lamb, puree",
"Babyfood, meat, pork, puree",
"Babyfood, meat, turkey, puree",
"Babyfood, meat, veal, puree",
"Babyfood, dinner, jarred or frozen, beef with vegetables, all stages",
"Babyfood, dinner, jarred or frozen, beef with pasta and vegetables, all stages",
"Babyfood, dinner, jarred or frozen, chicken with vegetables, all stages",
"Babyfood, dinner, jarred or frozen, chicken with rice or barley and vegetables, all stages",
"Babyfood, dinner, jarred, chicken with pasta and vegetables, all stages",
"Babyfood, dinner, jarred, chicken with cheese pasta and vegetables, all stages",
"Babyfood, dinner, jarred, chicken with vegetables and fruit",
"Babyfood, dinner, jarred, pork with vegetables and fruit",
"Babyfood, dinner, jarred, turkey with vegetables, all stages",
"Babyfood, dinner, jarred or frozen, turkey with rice or barley and vegetables, all stages",
"Babyfood, dinner, veal with vegetables and barley",Quesadilla with vegetables and meat(61.9% match #58104760); 
"Babyfood, dinner, jarred, pasta with vegetables","Macaroni, creamed, with vegetables(61.73% match #58147350); "
"Babyfood, dinner, jarred, pasta with cheese and vegetables","Empanada, Mexican turnover, filled with cheese and vegetables(67.23% match #58116115); Empanada, Mexican turnover, filled with chicken and vegetables(61.67% match #58116130); "
"Babyfood, vegetables, jarred, carrots, all stages",
"Babyfood, vegetables, jarred, creamed corn",
"Babyfood, vegetables, jarred, green beans, all stages",
"Babyfood, vegetables, jarred, mixed vegetables, all stages",
"Babyfood, vegetables, peas and carrots, all stages",
"Babyfood, vegetables, jarred, peas, all stages",
"Babyfood, vegetables, jarred, squash, all stages",
"Babyfood, vegetables, jarred, sweet potato, all stages",
"Babyfood, vegetables and fruit, jarred, green beans and apple",
"Babyfood, vegetables and fruit, zucchini and apple",
"Babyfood, vegetable and grain, jarred, creamed corn with rice",
"Babyfood, vegetables, jarred, broccoli and potato with cheese",
"Plant-based beverage, cashew, enriched, unsweetened",
"Babyfood, snack, biscuit, wheat with milk powder",
"Babyfood, cereal, ready to eat, 'O' shaped",
"Babyfood, cereal, mixed grain, with milk powder, dry",
"Babyfood, cereal, mixed grain, with milk powder, prepared with water","Bacon soup, cream of, prepared with water(60.55% match #28321130); "
"Babyfood, cereal, barley, with milk powder, prepared with water","Bacon soup, cream of, prepared with water(63.46% match #28321130); Corn soup, cream of, prepared with water(60.19% match #75604020); "
"Babyfood, cereal, mixed grain, with biscuit, milk powder and fruit, dry",
"Babyfood, cereal, mixed grain, with biscuit, milk powder and fruit, prepared with water",
"Babyfood, cereal, mixed grain, with milk powder and fruit, prepared with water",
"Babyfood, cereal, mixed grain, with fruit, dry",
"Babyfood, cereal, oat, prepared with formula or breast milk","Crab soup, cream of, prepared with milk(63.27% match #28355210); Potato soup, cream of, prepared with milk(62.0% match #71801010); Tomato soup, cream of, prepared with milk(62.0% match #74601010); "
"Babyfood, cereal, mixed grain, with fruit, prepared with formula or breast milk",
"Babyfood, cereal, oat, with milk powder, dry",
"Babyfood, cereal, Oat, with milk powder, prepared with water","Bacon soup, cream of, prepared with water(65.35% match #28321130); Corn soup, cream of, prepared with water(62.0% match #75604020); Mushroom soup, with meat broth, prepared with water(61.26% match #75607040); "
"Babyfood, cereal, rice, with milk powder and fruit, prepared with water","Bacon soup, cream of, prepared with water(60.71% match #28321130); "
"Babyfood, cereal, rice, with yogourt, with fruit, dry",
"Babyfood, cereal, rice, with yogourt, with fruit, prepared with water","Bacon soup, cream of, prepared with water(61.82% match #28321130); "
"Babyfood, cereal, rice, with milk powder, dry",
"Babyfood, cereal, Rice, with milk powder, prepared with water","Bacon soup, cream of, prepared with water(64.71% match #28321130); Corn soup, cream of, prepared with water(61.39% match #75604020); Mushroom soup, with meat broth, prepared with water(60.71% match #75607040); "
"Babyfood, cereal, rice, prepared with formula or breast milk","Crab soup, cream of, prepared with milk(60.61% match #28355210); "
"Babyfood, cereal, wheat, dry",
"Babyfood, cereal, wheat, prepared with formula or breast milk",
"Babyfood, cereal, wheat, with milk powder and fruit, dry",
"Babyfood, cereal, wheat, with milk powder and fruit, prepared with water","Bacon soup, cream of, prepared with water(60.18% match #28321130); "
